epoch:      1, it:      100, loss: 357.23, s_lpx: -352.19, u_lpx: -352.27, s_kl: 4.69, u_kl: 4.70, s_py: -2.30, u_py: -2.30, s_qy: -2.17, s_H: 2.27, u_H: 2.27, s_acc: 0.2886, u_acc: 0.2498
epoch:      1, it:      200, loss: 254.64, s_lpx: -248.47, u_lpx: -248.79, s_kl: 5.40, u_kl: 5.61, s_py: -2.30, u_py: -2.30, s_qy: -2.07, s_H: 2.27, u_H: 2.27, s_acc: 0.4180, u_acc: 0.4250
epoch:      2, it:      100, loss: 204.23, s_lpx: -194.25, u_lpx: -194.01, s_kl: 9.67, u_kl: 9.98, s_py: -2.30, u_py: -2.30, s_qy: -1.96, s_H: 2.25, u_H: 2.25, s_acc: 0.5033, u_acc: 0.4914
epoch:      2, it:      200, loss: 178.11, s_lpx: -165.67, u_lpx: -164.64, s_kl: 12.99, u_kl: 13.21, s_py: -2.30, u_py: -2.30, s_qy: -1.93, s_H: 2.25, u_H: 2.25, s_acc: 0.5059, u_acc: 0.5009
epoch:      3, it:      100, loss: 163.67, s_lpx: -148.66, u_lpx: -147.56, s_kl: 15.73, u_kl: 15.84, s_py: -2.30, u_py: -2.30, s_qy: -1.88, s_H: 2.24, u_H: 2.24, s_acc: 0.5661, u_acc: 0.5386
epoch:      3, it:      200, loss: 154.58, s_lpx: -137.47, u_lpx: -136.45, s_kl: 17.42, u_kl: 17.89, s_py: -2.30, u_py: -2.30, s_qy: -1.86, s_H: 2.24, u_H: 2.24, s_acc: 0.6090, u_acc: 0.5674
epoch:      4, it:      100, loss: 148.35, s_lpx: -129.76, u_lpx: -128.58, s_kl: 19.14, u_kl: 19.53, s_py: -2.30, u_py: -2.30, s_qy: -1.83, s_H: 2.24, u_H: 2.24, s_acc: 0.6581, u_acc: 0.5996
epoch:      4, it:      200, loss: 143.72, s_lpx: -123.26, u_lpx: -122.61, s_kl: 20.49, u_kl: 20.90, s_py: -2.30, u_py: -2.30, s_qy: -1.76, s_H: 2.22, u_H: 2.23, s_acc: 0.6772, u_acc: 0.6403
epoch:      5, it:      100, loss: 139.85, s_lpx: -118.84, u_lpx: -117.63, s_kl: 21.71, u_kl: 22.00, s_py: -2.30, u_py: -2.30, s_qy: -1.72, s_H: 2.21, u_H: 2.22, s_acc: 0.7012, u_acc: 0.6566
epoch:      5, it:      200, loss: 136.59, s_lpx: -113.93, u_lpx: -113.52, s_kl: 22.49, u_kl: 22.87, s_py: -2.30, u_py: -2.30, s_qy: -1.71, s_H: 2.21, u_H: 2.22, s_acc: 0.7012, u_acc: 0.6754
epoch:      6, it:      100, loss: 133.88, s_lpx: -110.97, u_lpx: -110.15, s_kl: 23.15, u_kl: 23.54, s_py: -2.30, u_py: -2.30, s_qy: -1.68, s_H: 2.21, u_H: 2.21, s_acc: 0.7515, u_acc: 0.7032
epoch:      6, it:      200, loss: 131.39, s_lpx: -108.03, u_lpx: -107.08, s_kl: 23.80, u_kl: 24.11, s_py: -2.30, u_py: -2.30, s_qy: -1.66, s_H: 2.20, u_H: 2.21, s_acc: 0.7428, u_acc: 0.7083
epoch:      7, it:      100, loss: 129.34, s_lpx: -105.83, u_lpx: -104.52, s_kl: 24.26, u_kl: 24.63, s_py: -2.30, u_py: -2.30, s_qy: -1.64, s_H: 2.20, u_H: 2.20, s_acc: 0.7559, u_acc: 0.7189
epoch:      7, it:      200, loss: 127.47, s_lpx: -102.49, u_lpx: -102.31, s_kl: 24.72, u_kl: 24.99, s_py: -2.30, u_py: -2.30, s_qy: -1.62, s_H: 2.19, u_H: 2.20, s_acc: 0.7417, u_acc: 0.7171
epoch:      8, it:      100, loss: 125.96, s_lpx: -100.94, u_lpx: -100.47, s_kl: 25.07, u_kl: 25.33, s_py: -2.30, u_py: -2.30, s_qy: -1.60, s_H: 2.18, u_H: 2.19, s_acc: 0.7728, u_acc: 0.7336
epoch:      8, it:      200, loss: 124.40, s_lpx: -99.86, u_lpx: -98.63, s_kl: 25.23, u_kl: 25.60, s_py: -2.30, u_py: -2.30, s_qy: -1.57, s_H: 2.18, u_H: 2.18, s_acc: 0.7838, u_acc: 0.7429
