epoch,s_py,s_lpx,s_kl,u_py,s_qy,step,loss,u_H,u_acc,u_kl,s_acc,u_lpx,s_H
0,-2.3025851249694824,-22.499380111694336,3.2016801834106445,-2.3025851249694824,-2.6614127159118652,49,26.824777603149414,2.185933828353882,0.11039713770151138,3.6202383041381836,0.048299845308065414,-22.835481643676758,2.191746473312378
0,-2.3025851249694824,-22.064970016479492,2.0153379440307617,-2.3025851249694824,-2.493709087371826,99,24.810447692871094,2.226231336593628,0.15712487697601318,2.267947196960449,0.11791890114545822,-22.225637435913086,2.2299938201904297
1,-2.3025851249694824,-21.99991226196289,1.283876657485962,-2.3025851249694824,-2.3496336936950684,149,23.576324462890625,2.25053071975708,0.2269446849822998,1.4338093996047974,0.23227955400943756,-21.861783981323242,2.252324342727661
1,-2.3025851249694824,-21.71702766418457,0.8330007195472717,-2.3025851249694824,-2.251702308654785,199,22.81427574157715,2.26438570022583,0.3034217357635498,0.9252205491065979,0.2865206003189087,-21.632339477539062,2.2650279998779297
2,-2.3025851249694824,-21.297353744506836,0.5560322403907776,-2.3025851249694824,-2.167086124420166,249,22.352703094482422,2.27081561088562,0.36156532168388367,0.6174920797348022,0.38719335198402405,-21.496219635009766,2.2704832553863525
2,-2.3025851249694824,-21.424701690673828,0.39355528354644775,-2.3025851249694824,-2.0977816581726074,299,22.071290969848633,2.273446798324585,0.4240574538707733,0.43335142731666565,0.4708600640296936,-21.411590576171875,2.272117853164673
3,-2.3025851249694824,-21.20319175720215,0.2938276529312134,-2.3025851249694824,-2.028918504714966,349,21.891433715820312,2.2723886966705322,0.4652971923351288,0.32482409477233887,0.5353249311447144,-21.35158348083496,2.268061876296997
3,-2.3025851249694824,-21.30023193359375,0.239963099360466,-2.3025851249694824,-1.9776543378829956,399,21.7879638671875,2.2700886726379395,0.5096471905708313,0.2620706558227539,0.5578029751777649,-21.320209503173828,2.2649967670440674
4,-2.3025851249694824,-21.276351928710938,0.2113720327615738,-2.3025851249694824,-1.9372371435165405,449,21.722518920898438,2.266801357269287,0.5539606213569641,0.2271379977464676,0.6257207989692688,-21.29853630065918,2.2621164321899414
4,-2.3025851249694824,-21.162118911743164,0.19000421464443207,-2.3025851249694824,-1.8706527948379517,499,21.674053192138672,2.2622158527374268,0.5887739658355713,0.20956450700759888,0.7123836874961853,-21.279130935668945,2.254488706588745
5,-2.3025851249694824,-21.104013442993164,0.18913888931274414,-2.3025851249694824,-1.814447283744812,549,21.644590377807617,2.256115198135376,0.6163697838783264,0.20224353671073914,0.7427128553390503,-21.268238067626953,2.244929552078247
5,-2.3025851249694824,-20.9357852935791,0.17639559507369995,-2.3025851249694824,-1.793732762336731,599,21.622743606567383,2.248650074005127,0.6357108354568481,0.2003808319568634,0.7318974137306213,-21.256317138671875,2.2394156455993652
6,-2.3025851249694824,-20.808155059814453,0.17361339926719666,-2.3025851249694824,-1.7436965703964233,649,21.609975814819336,2.240962505340576,0.6570409536361694,0.20162814855575562,0.7883408069610596,-21.254526138305664,2.230076789855957
6,-2.3025851249694824,-20.67705535888672,0.17713956534862518,-2.3025851249694824,-1.698912262916565,699,21.60295295715332,2.2321529388427734,0.6708186864852905,0.20563894510269165,0.8089929819107056,-21.25586700439453,2.217712879180908
7,-2.3025851249694824,-20.457059860229492,0.17717599868774414,-2.3025851249694824,-1.6726535558700562,749,21.58628273010254,2.2224321365356445,0.6790850162506104,0.21063391864299774,0.8168495893478394,-21.245891571044922,2.208965539932251
7,-2.3025851249694824,-20.6909122467041,0.18740029633045197,-2.3025851249694824,-1.6273822784423828,799,21.591699600219727,2.2116801738739014,0.6883434653282166,0.21665041148662567,0.8028761744499207,-21.25876808166504,2.192356824874878
8,-2.3025851249694824,-20.567392349243164,0.18428167700767517,-2.3025851249694824,-1.5770994424819946,849,21.579057693481445,2.200777530670166,0.7008265852928162,0.22330477833747864,0.8247057199478149,-21.254962921142578,2.1779093742370605
8,-2.3025851249694824,-20.68090057373047,0.193072110414505,-2.3025851249694824,-1.5336540937423706,899,21.56483268737793,2.1887993812561035,0.706743061542511,0.2299685776233673,0.8448959589004517,-21.250789642333984,2.15893816947937
9,-2.3025851249694824,-20.65131950378418,0.20040923357009888,-2.3025851249694824,-1.4858689308166504,949,21.56076431274414,2.1758174896240234,0.7191498875617981,0.23788471519947052,0.8896045088768005,-21.25766944885254,2.143922805786133
9,-2.3025851249694824,-20.410417556762695,0.19922885298728943,-2.3025851249694824,-1.4692686796188354,999,21.564672470092773,2.161001682281494,0.728270947933197,0.24381157755851746,0.8604975342750549,-21.271867752075195,2.131657600402832
10,-2.3025851249694824,-20.468482971191406,0.19925305247306824,-2.3025851249694824,-1.4183303117752075,1049,21.546031951904297,2.1460745334625244,0.7347697615623474,0.2478272169828415,0.8758516311645508,-21.271804809570312,2.1105191707611084
10,-2.3025851249694824,-20.389219284057617,0.1996118277311325,-2.3025851249694824,-1.3687820434570312,1099,21.548839569091797,2.128781318664551,0.7362018823623657,0.25222474336624146,0.9011799693107605,-21.292072296142578,2.0882818698883057
11,-2.3025851249694824,-20.24310874938965,0.19626544415950775,-2.3025851249694824,-1.3170907497406006,1149,21.536865234375,2.1104366779327393,0.7419739365577698,0.25656402111053467,0.898772120475769,-21.302427291870117,2.062023639678955
11,-2.3025851249694824,-20.405027389526367,0.20679596066474915,-2.3025851249694824,-1.290150761604309,1199,21.5360050201416,2.089934825897217,0.747306227684021,0.2617867588996887,0.8858458995819092,-21.3205623626709,2.0382981300354004
12,-2.3025851249694824,-20.240901947021484,0.2058958113193512,-2.3025851249694824,-1.230486273765564,1249,21.52825164794922,2.068028688430786,0.7527490854263306,0.2654572129249573,0.9062753319740295,-21.342254638671875,2.01042103767395
12,-2.3025851249694824,-20.26506805419922,0.2126203328371048,-2.3025851249694824,-1.1867684125900269,1299,21.51346206665039,2.0454375743865967,0.7586526870727539,0.26959383487701416,0.9114460945129395,-21.35617446899414,1.9784512519836426
13,-2.3025851249694824,-20.344940185546875,0.2131306529045105,-2.3025851249694824,-1.1274802684783936,1349,21.50637435913086,2.0192599296569824,0.7628273963928223,0.2735067903995514,0.9281939268112183,-21.381919860839844,1.9420868158340454
13,-2.3025851249694824,-20.066408157348633,0.21051301062107086,-2.3025851249694824,-1.106134057044983,1399,21.49564552307129,1.9914971590042114,0.7644923329353333,0.2772460877895355,0.9120694994926453,-21.403730392456055,1.9115349054336548
14,-2.3025851249694824,-20.096237182617188,0.2157008796930313,-2.3025851249694824,-1.0593481063842773,1449,21.482759475708008,1.9611139297485352,0.769230306148529,0.28012752532958984,0.9303557872772217,-21.434307098388672,1.8799680471420288
14,-2.3025851249694824,-19.83534812927246,0.21071527898311615,-2.3025851249694824,-1.0049439668655396,1499,21.483640670776367,1.9272631406784058,0.7747364640235901,0.2852407693862915,0.9167990684509277,-21.480064392089844,1.8289811611175537
15,-2.3025851249694824,-19.76802635192871,0.2153313308954239,-2.3025851249694824,-0.9427300691604614,1549,21.464309692382812,1.891655683517456,0.7797843217849731,0.2906532883644104,0.936123788356781,-21.515403747558594,1.7861453294754028
15,-2.3025851249694824,-19.653196334838867,0.20851123332977295,-2.3025851249694824,-0.9179219007492065,1599,21.456575393676758,1.850169062614441,0.7838054895401001,0.2968747913837433,0.9518445730209351,-21.563724517822266,1.741341233253479
16,-2.3025851249694824,-19.628063201904297,0.21731849014759064,-2.3025851249694824,-0.8761756420135498,1649,21.445192337036133,1.8067123889923096,0.787883996963501,0.3016059398651123,0.962265133857727,-21.618852615356445,1.701063871383667
16,-2.3025851249694824,-19.456876754760742,0.2145620584487915,-2.3025851249694824,-0.8271104097366333,1699,21.435779571533203,1.7596571445465088,0.7931322455406189,0.3060722053050995,0.961300790309906,-21.687488555908203,1.6466768980026245
17,-2.3025851249694824,-19.388267517089844,0.2167114019393921,-2.3025851249694824,-0.7840867638587952,1749,21.428775787353516,1.7079942226409912,0.7973012328147888,0.3119090795516968,0.9544894695281982,-21.768638610839844,1.5906568765640259
17,-2.3025851249694824,-19.39482307434082,0.22473077476024628,-2.3025851249694824,-0.7456650137901306,1799,21.40191078186035,1.6545684337615967,0.8031426072120667,0.3186897039413452,0.9571995735168457,-21.839685440063477,1.5358304977416992
18,-2.3025851249694824,-19.245973587036133,0.23032255470752716,-2.3025851249694824,-0.6938490867614746,1849,21.384489059448242,1.5973937511444092,0.8072666525840759,0.3285316526889801,0.9522440433502197,-21.93068504333496,1.4567688703536987
18,-2.3025851249694824,-19.326641082763672,0.23790308833122253,-2.3025851249694824,-0.6706950664520264,1899,21.367820739746094,1.5357147455215454,0.8116589784622192,0.3379218876361847,0.9611073732376099,-22.035839080810547,1.4154053926467896
19,-2.3025851249694824,-19.220129013061523,0.2500605881214142,-2.3025851249694824,-0.6304131150245667,1949,21.34955406188965,1.4705642461776733,0.8161998987197876,0.35170185565948486,0.9526153206825256,-22.155744552612305,1.3425198793411255
19,-2.3025851249694824,-19.146438598632812,0.2513003349304199,-2.3025851249694824,-0.5720503330230713,1999,21.330867767333984,1.4061130285263062,0.8195563554763794,0.36395615339279175,0.9573319554328918,-22.285493850708008,1.2621961832046509
20,-2.3025851249694824,-19.053987503051758,0.26080381870269775,-2.3025851249694824,-0.5384883880615234,2049,21.302202224731445,1.3389559984207153,0.8248738050460815,0.3790610134601593,0.9395803213119507,-22.417654037475586,1.1935955286026
20,-2.3025851249694824,-19.04512596130371,0.27027368545532227,-2.3025851249694824,-0.5167337656021118,2099,21.293550491333008,1.273411750793457,0.8268429040908813,0.3957814574241638,0.939242422580719,-22.572290420532227,1.1404786109924316
21,-2.3025851249694824,-18.96577262878418,0.2863866090774536,-2.3025851249694824,-0.47757840156555176,2149,21.27440643310547,1.208297610282898,0.8286709189414978,0.41411349177360535,0.9387879967689514,-22.72996711730957,1.0739701986312866
21,-2.3025851249694824,-18.878093719482422,0.28872591257095337,-2.3025851249694824,-0.4504586458206177,2199,21.24393081665039,1.1465873718261719,0.8335543274879456,0.4345918893814087,0.9472444653511047,-22.871187210083008,1.0244836807250977
22,-2.3025851249694824,-18.857276916503906,0.3113498091697693,-2.3025851249694824,-0.4577271044254303,2249,21.234704971313477,1.0874654054641724,0.8360939621925354,0.45533329248428345,0.9417319297790527,-23.02849769592285,1.0082025527954102
22,-2.3025851249694824,-18.92934799194336,0.3267197906970978,-2.3025851249694824,-0.3848990201950073,2299,21.208797454833984,1.0304887294769287,0.8386942744255066,0.4787256121635437,0.9479389190673828,-23.167818069458008,0.8911653161048889
23,-2.3025851249694824,-18.74070930480957,0.3440941870212555,-2.3025851249694824,-0.34094980359077454,2349,21.189682006835938,0.9795181155204773,0.8392828106880188,0.4992542266845703,0.9543112516403198,-23.316564559936523,0.8034105896949768
23,-2.3025851249694824,-18.788612365722656,0.3666798770427704,-2.3025851249694824,-0.3771173059940338,2399,21.183837890625,0.9352543354034424,0.8414478302001953,0.5207189917564392,0.9490814208984375,-23.454553604125977,0.81955486536026
24,-2.3025851249694824,-18.529647827148438,0.3713103234767914,-2.3025851249694824,-0.3507500886917114,2449,21.162128448486328,0.8922771215438843,0.8429756760597229,0.5428699254989624,0.9520699381828308,-23.584318161010742,0.7684096097946167
24,-2.3025851249694824,-18.36751365661621,0.3920513689517975,-2.3025851249694824,-0.3224215507507324,2499,21.150815963745117,0.8564074635505676,0.8448505401611328,0.5677319765090942,0.9612990021705627,-23.676239013671875,0.7369322180747986
25,-2.3025851249694824,-18.245473861694336,0.4116905629634857,-2.3025851249694824,-0.29509058594703674,2549,21.140159606933594,0.8208640217781067,0.8463114500045776,0.5957022309303284,0.961050808429718,-23.774003982543945,0.7068564891815186
25,-2.3025851249694824,-18.711977005004883,0.4443768262863159,-2.3025851249694824,-0.30522146821022034,2599,21.129756927490234,0.7923905253410339,0.8461260795593262,0.6220767498016357,0.9426901340484619,-23.862945556640625,0.6867085695266724
26,-2.3025851249694824,-18.6873722076416,0.4590398669242859,-2.3025851249694824,-0.2921011447906494,2649,21.128938674926758,0.765332043170929,0.8457647562026978,0.6454932689666748,0.9587043523788452,-23.957674026489258,0.6725467443466187
26,-2.3025851249694824,-18.294471740722656,0.4702838659286499,-2.3025851249694824,-0.2964264154434204,2699,21.12904167175293,0.7395851612091064,0.8480756878852844,0.6674273014068604,0.9420273900032043,-24.025171279907227,0.6534286141395569
27,-2.3025851249694824,-18.467208862304688,0.48932138085365295,-2.3025851249694824,-0.27658411860466003,2749,21.11517333984375,0.7182618379592896,0.8484069108963013,0.6907990574836731,0.9520577788352966,-24.09036636352539,0.6134531497955322
27,-2.3025851249694824,-18.408021926879883,0.5041953921318054,-2.3025851249694824,-0.29447779059410095,2799,21.122066497802734,0.6982357501983643,0.8494705557823181,0.7149145007133484,0.9369388222694397,-24.144777297973633,0.6119157075881958
28,-2.3025851249694824,-18.484827041625977,0.5627931952476501,-2.3025851249694824,-0.29103177785873413,2849,21.109209060668945,0.6805117130279541,0.8498952388763428,0.7420865893363953,0.9455711841583252,-24.187273025512695,0.6216270923614502
28,-2.3025851249694824,-18.438535690307617,0.5527737736701965,-2.3025851249694824,-0.27399560809135437,2899,21.101961135864258,0.6626171469688416,0.8501100540161133,0.768831193447113,0.950443685054779,-24.241846084594727,0.5611688494682312
