epoch:      1, it:      100, loss: 77.61, s_lpx: -72.81, u_lpx: -74.00, s_kl: 3.04, u_kl: 3.10, s_py: -2.30, u_py: -2.30, s_qy: -2.36, s_H: 2.28, u_H: 2.28, s_acc: 0.0535, u_acc: 0.1002
epoch:      1, it:      200, loss: 73.30, s_lpx: -70.80, u_lpx: -71.45, s_kl: 1.33, u_kl: 1.35, s_py: -2.30, u_py: -2.30, s_qy: -2.32, s_H: 2.29, u_H: 2.29, s_acc: 0.0919, u_acc: 0.1157
epoch:      2, it:      100, loss: 71.67, s_lpx: -70.21, u_lpx: -70.45, s_kl: 0.73, u_kl: 0.73, s_py: -2.30, u_py: -2.30, s_qy: -2.27, s_H: 2.29, u_H: 2.29, s_acc: 0.1534, u_acc: 0.1303
epoch:      2, it:      200, loss: 71.01, s_lpx: -69.66, u_lpx: -69.94, s_kl: 0.58, u_kl: 0.58, s_py: -2.30, u_py: -2.30, s_qy: -2.27, s_H: 2.29, u_H: 2.29, s_acc: 0.1644, u_acc: 0.1454
epoch:      3, it:      100, loss: 70.76, s_lpx: -69.50, u_lpx: -69.67, s_kl: 0.60, u_kl: 0.61, s_py: -2.30, u_py: -2.30, s_qy: -2.24, s_H: 2.28, u_H: 2.28, s_acc: 0.1962, u_acc: 0.1581
epoch:      3, it:      200, loss: 70.64, s_lpx: -69.41, u_lpx: -69.48, s_kl: 0.68, u_kl: 0.68, s_py: -2.30, u_py: -2.30, s_qy: -2.22, s_H: 2.28, u_H: 2.28, s_acc: 0.2193, u_acc: 0.1739
epoch:      4, it:      100, loss: 70.57, s_lpx: -69.00, u_lpx: -69.33, s_kl: 0.77, u_kl: 0.78, s_py: -2.30, u_py: -2.30, s_qy: -2.20, s_H: 2.28, u_H: 2.28, s_acc: 0.2414, u_acc: 0.1740
epoch:      4, it:      200, loss: 70.52, s_lpx: -68.95, u_lpx: -69.18, s_kl: 0.87, u_kl: 0.87, s_py: -2.30, u_py: -2.30, s_qy: -2.19, s_H: 2.27, u_H: 2.28, s_acc: 0.2536, u_acc: 0.1791
epoch:      5, it:      100, loss: 70.51, s_lpx: -68.56, u_lpx: -69.09, s_kl: 0.95, u_kl: 0.97, s_py: -2.30, u_py: -2.30, s_qy: -2.17, s_H: 2.27, u_H: 2.27, s_acc: 0.2531, u_acc: 0.1867
epoch:      5, it:      200, loss: 70.53, s_lpx: -68.76, u_lpx: -69.02, s_kl: 1.06, u_kl: 1.05, s_py: -2.30, u_py: -2.30, s_qy: -2.18, s_H: 2.26, u_H: 2.27, s_acc: 0.2429, u_acc: 0.1843
epoch:      6, it:      100, loss: 70.54, s_lpx: -68.65, u_lpx: -68.96, s_kl: 1.11, u_kl: 1.13, s_py: -2.30, u_py: -2.30, s_qy: -2.16, s_H: 2.26, u_H: 2.26, s_acc: 0.2559, u_acc: 0.1883
epoch:      6, it:      200, loss: 70.46, s_lpx: -68.47, u_lpx: -68.83, s_kl: 1.19, u_kl: 1.19, s_py: -2.30, u_py: -2.30, s_qy: -2.14, s_H: 2.26, u_H: 2.26, s_acc: 0.2728, u_acc: 0.1932
