lpx,step,elbo,lqz,loss,lpz,epoch,kl
-916.0755615234375,99,-919.6768798828125,-70.677734375,919.6768798828125,-74.2790756225586,0,3.60134220123291
-821.9943237304688,199,-829.1780395507812,-64.68462371826172,829.1780395507812,-71.8683090209961,1,7.183684825897217
-774.1266479492188,299,-783.8989868164062,-61.649715423583984,783.8989868164062,-71.4220199584961,2,9.772307395935059
-752.9921875,399,-763.6810302734375,-61.33223342895508,763.6810302734375,-72.02107238769531,3,10.688837051391602
-743.6576538085938,499,-753.8362426757812,-62.08798599243164,753.8362426757812,-72.26661682128906,4,10.178633689880371
-740.0101318359375,599,-749.3795166015625,-62.9736328125,749.3795166015625,-72.34302520751953,4,9.369392395019531
-737.8297729492188,699,-746.3265380859375,-63.47822952270508,746.3265380859375,-71.97502136230469,5,8.496794700622559
-736.7730102539062,799,-744.5645141601562,-63.8556022644043,744.5645141601562,-71.6471176147461,6,7.791512966156006
-735.6455688476562,899,-742.85986328125,-64.30404663085938,742.85986328125,-71.518310546875,7,7.214267253875732
-734.9818725585938,999,-741.7416381835938,-64.65787506103516,741.7416381835938,-71.41764068603516,8,6.759765148162842
-734.068603515625,1099,-740.4684448242188,-64.89737701416016,740.4684448242188,-71.29724884033203,9,6.39987325668335
-733.60693359375,1199,-739.6936645507812,-65.20577239990234,739.6936645507812,-71.29248809814453,9,6.08671760559082
-733.14990234375,1299,-738.9500732421875,-65.50360107421875,738.9500732421875,-71.30376434326172,10,5.800163269042969
-732.4113159179688,1399,-738.0115966796875,-65.67807006835938,738.0115966796875,-71.27835845947266,11,5.600292682647705
-731.984375,1499,-737.4269409179688,-65.79041290283203,737.4269409179688,-71.23300170898438,12,5.4425883293151855
-731.7821044921875,1599,-737.0986938476562,-65.9014892578125,737.0986938476562,-71.21808624267578,13,5.316603660583496
-731.4431762695312,1699,-736.6004028320312,-66.04183197021484,736.6004028320312,-71.19906616210938,14,5.157229423522949
-731.2470703125,1799,-736.2689819335938,-66.1978988647461,736.2689819335938,-71.21979522705078,14,5.021895885467529
-730.7682495117188,1899,-735.6572875976562,-66.3152847290039,735.6572875976562,-71.20430755615234,15,4.889019012451172
-730.5499267578125,1999,-735.3250122070312,-66.42008972167969,735.3250122070312,-71.19517517089844,16,4.775090217590332
-730.1807250976562,2099,-734.853271484375,-66.48603820800781,734.853271484375,-71.15856170654297,17,4.672529220581055
-730.0599975585938,2199,-734.6483154296875,-66.55825805664062,734.6483154296875,-71.14657592773438,18,4.588314056396484
-729.7396240234375,2299,-734.2897338867188,-66.61805725097656,734.2897338867188,-71.16817474365234,19,4.550115585327148
-729.5940551757812,2399,-734.0798950195312,-66.64766693115234,734.0798950195312,-71.13347625732422,19,4.485807418823242
-729.211669921875,2499,-733.6515502929688,-66.66069030761719,733.6515502929688,-71.10055541992188,20,4.439865589141846
-729.1422119140625,2599,-733.5569458007812,-66.67015075683594,733.5569458007812,-71.08487701416016,21,4.414727687835693
-729.0798950195312,2699,-733.4841918945312,-66.66006469726562,733.4841918945312,-71.06442260742188,22,4.404356002807617
-729.0033569335938,2799,-733.4052734375,-66.64470672607422,733.4052734375,-71.0466079711914,23,4.401901721954346
-728.8292846679688,2899,-733.23779296875,-66.61880493164062,733.23779296875,-71.02732849121094,24,4.408519744873047
-728.3583374023438,2999,-732.7962646484375,-66.58961486816406,732.7962646484375,-71.02753448486328,24,4.437923908233643
-728.4225463867188,3099,-732.8900146484375,-66.54559326171875,732.8900146484375,-71.0130844116211,25,4.467488765716553
-727.99658203125,3199,-732.49951171875,-66.49759674072266,732.49951171875,-71.00057220458984,26,4.502976417541504
-728.0592041015625,3299,-732.60693359375,-66.44802856445312,732.60693359375,-70.99578094482422,27,4.547747611999512
-727.8312377929688,3399,-732.4332885742188,-66.3961181640625,732.4332885742188,-70.99821472167969,28,4.6020894050598145
-727.3191528320312,3499,-731.9498901367188,-66.34733581542969,731.9498901367188,-70.97807312011719,29,4.630734920501709
-727.2708129882812,3599,-731.9418334960938,-66.30542755126953,731.9418334960938,-70.97645568847656,29,4.671030044555664
-727.2509765625,3699,-731.9495849609375,-66.27546691894531,731.9495849609375,-70.97404479980469,30,4.698580265045166
-726.8507080078125,3799,-731.5806884765625,-66.25472259521484,731.5806884765625,-70.98469543457031,31,4.7299723625183105
-727.1461791992188,3899,-731.8910522460938,-66.23182678222656,731.8910522460938,-70.97669982910156,32,4.744870662689209
-726.44482421875,3999,-731.2133178710938,-66.2215805053711,731.2133178710938,-70.99002838134766,33,4.768449306488037
-726.443603515625,4099,-731.219482421875,-66.19339752197266,731.219482421875,-70.96929168701172,34,4.775900840759277
-726.3361206054688,4199,-731.12451171875,-66.17782592773438,731.12451171875,-70.96617126464844,34,4.788341999053955
-726.17236328125,4299,-730.979736328125,-66.15804290771484,730.979736328125,-70.96541595458984,35,4.807370662689209
-726.373291015625,4399,-731.1901245117188,-66.14424133300781,731.1901245117188,-70.9610595703125,36,4.8168182373046875
-726.0892944335938,4499,-730.9190673828125,-66.13163757324219,730.9190673828125,-70.96141815185547,37,4.829779624938965
